high,low,volume,close,open,time
315.82,309.05,30413265.0,315.41,313.91,1648526400
315.95,311.58,28163555.0,313.86,313.76,1648612800
315.14,307.89,33255433.0,308.31,313.9,1648699200
310.13,305.54,27035599.0,309.42,309.37,1648785600
315.11,309.71,24270782.0,314.97,310.09,1649044800
314.865,309.87,23043424.0,310.88,313.27,1649131200
307.0,296.71,35635336.0,299.4,305.19,1649217600
303.65,296.35,28561404.0,301.37,296.66,1649304000
301.12,296.28,24269578.0,296.97,300.44,1649390400
292.61,285.0,34543387.0,285.26,291.79,1649649600
290.739,280.49,30822472.0,282.06,289.235,1649736000
288.58,281.3,21775922.0,287.62,282.73,1649822400
288.305,279.32,28136691.0,279.83,288.09,1649908800
282.46,278.34,20725038.0,280.52,278.91,1650254400
286.17,278.41,22221396.0,285.3,279.38,1650340800
289.7,285.3702,22752194.0,286.36,289.38,1650427200
293.3,280.06,29295674.0,280.81,288.58,1650513600
283.2,273.38,29214845.0,274.03,281.68,1650600000
281.11,270.77,35442972.0,280.72,273.29,1650859200
278.3599,270.0,46312786.0,270.22,277.5,1650945600
290.97,279.16,63045776.0,283.22,282.1,1651032000
290.98,281.4562,33415185.0,289.63,285.185,1651118400
289.88,276.5,36577414.0,277.52,288.61,1651204800
284.94,276.22,34898045.0,284.47,277.71,1651464000
284.13,280.15,25800676.0,281.78,283.96,1651550400
290.86,276.73,33192926.0,289.98,282.59,1651636800
286.35,274.34,42862695.0,277.35,285.54,1651723200
279.25,271.27,37489286.0,274.73,274.805,1651809600
272.36,263.32,47117657.0,264.58,270.06,1652068800
273.75,265.07,38922178.0,269.5,271.69,1652155200
271.36,259.3,48495243.0,260.55,265.68,1652241600
259.88,250.02,50655611.0,255.35,257.69,1652328000
263.04,255.35,34627772.0,261.12,257.35,1652414400
265.82,255.78,32251596.0,261.5,259.955,1652673600
268.33,262.46,25351723.0,266.86,266.11,1652760000
263.6,252.8,31048373.0,254.08,263.0,1652846400
257.67,251.88,32306474.0,253.14,253.9,1652932800
258.54,246.44,39253068.0,252.56,257.24,1653019200
261.5,253.43,33050557.0,260.65,255.49,1653278400
261.33,253.5,28841189.0,259.62,257.89,1653364800
264.58,257.125,28288915.0,262.52,258.14,1653451200
267.11,261.4294,24908841.0,265.9,262.335,1653537600
273.34,267.56,26793494.0,273.24,268.44,1653624000
274.77,268.93,37446413.0,271.87,272.53,1653969600
277.69,270.04,25054480.0,272.42,275.195,1654056000
274.65,261.6,43677409.0,274.58,264.45,1654142400
273.45,268.41,24743979.0,270.04,270.31,1654228800
274.18,267.22,22221323.0,268.75,272.06,1654488000
273.13,265.94,22701501.0,272.5,266.67,1654574400
273.0,269.61,17278366.0,270.41,271.71,1654660800
272.7081,264.63,26366282.0,264.79,267.78,1654747200
260.58,252.68,31188393.0,252.99,260.58,1654833600
249.0242,241.53,45977127.0,242.26,245.11,1655092800
245.74,241.51,28638585.0,244.49,243.86,1655179200
255.3,246.42,32378851.0,251.76,248.285,1655265600
247.4174,243.02,33159828.0,244.97,245.98,1655352000
250.5,244.03,43068610.0,247.65,244.7,1655438400
254.75,249.51,29920876.0,253.74,250.255,1655784000
257.17,250.37,25949803.0,253.13,251.89,1655870400
259.37,253.63,26435048.0,258.86,255.57,1655956800
267.89,261.72,33591795.0,267.7,261.808,1656043200
268.3,263.28,24572353.0,264.89,268.205,1656302400
266.91,256.32,27330556.0,256.48,263.98,1656388800
261.97,255.76,20028550.0,260.26,257.59,1656475200
259.53,252.9,31677414.0,256.83,257.05,1656561600
259.77,254.61,22830172.0,259.58,256.39,1656648000
262.98,254.74,22971634.0,262.85,256.16,1656993600
267.99,262.4,23839418.0,266.21,263.75,1657080000
269.055,265.02,20859874.0,268.4,265.12,1657166400
268.1,263.285,19658751.0,267.66,264.79,1657252800
266.53,262.18,19309529.0,264.51,265.65,1657512000
265.94,252.04,35885656.0,253.67,265.88,1657598400
253.55,248.11,29497423.0,252.72,250.19,1657684800
255.1374,245.94,25102823.0,254.08,250.735,1657771200
260.3699,254.7727,29774050.0,256.72,255.72,1657857600
260.84,253.3,20975034.0,254.25,259.74,1658116800
259.72,253.68,25010191.0,259.53,257.575,1658203200
264.87,258.91,22787344.0,262.27,259.9,1658289600
264.89,257.03,22404675.0,264.84,259.79,1658376000
265.33,259.07,21850179.0,260.36,265.24,1658462400
261.5,256.81,21053780.0,258.83,260.995,1658721600
259.88,249.57,39367296.0,251.9,259.86,1658808000
270.05,258.85,45869993.0,268.74,261.16,1658894400
277.84,267.87,33459327.0,276.41,269.75,1658980800
282.0,276.63,32140586.0,280.74,277.7,1659067200
281.28,275.84,21532878.0,278.01,277.82,1659326400
277.89,272.38,22754184.0,274.82,276.0,1659412800
283.5,276.61,23518874.0,282.47,276.76,1659499200
283.8,280.1677,18098668.0,283.65,281.8,1659585600
283.65,278.68,16770698.0,282.91,279.15,1659672000
285.92,279.32,18757818.0,280.32,284.05,1659931200
283.08,277.61,23386566.0,282.3,279.64,1660017600
289.81,286.94,24722745.0,289.16,288.17,1660104000
291.21,286.51,20065938.0,287.02,290.85,1660190400
291.91,286.94,22611611.0,291.91,288.48,1660276800
294.18,290.11,18118153.0,293.47,291.0,1660536000
294.04,290.42,18102882.0,292.71,291.99,1660622400
293.35,289.47,18319046.0,291.32,289.74,1660708800
291.91,289.08,17186192.0,290.17,290.189,1660795200
289.25,285.56,20570033.0,286.15,288.9,1660881600
282.46,277.22,25061070.0,277.75,282.08,1661140800
278.86,275.4,17527541.0,276.44,276.44,1661227200
277.23,275.11,18137019.0,275.79,275.41,1661313600
279.02,274.52,16584215.0,278.85,277.28,1661400000
280.34,267.98,27549307.0,268.09,279.08,1661486400
267.4,263.85,20356884.0,265.23,265.85,1661745600
267.05,260.66,22765463.0,262.97,266.67,1661832000
267.11,261.33,24776908.0,261.47,265.39,1661918400
260.89,255.41,23260437.0,260.4,258.87,1662004800
264.74,254.47,22846977.0,256.06,261.695,1662091200
257.83,251.94,21319493.0,253.25,256.2,1662436800
258.83,253.22,24115309.0,258.09,254.7,1662523200
260.43,254.79,20313910.0,258.52,257.51,1662609600
265.23,260.29,22093190.0,264.46,260.5,1662696000
267.45,265.16,18756887.0,266.65,265.78,1662955200
260.4,251.59,33304874.0,251.99,258.84,1663041600
254.23,249.86,23907125.0,252.22,253.53,1663128000
251.4,244.02,31453294.0,245.38,249.77,1663214400
245.3,242.0627,39788933.0,244.74,244.26,1663300800
245.14,240.85,26826931.0,244.52,242.465,1663560000
243.51,239.64,26654583.0,242.45,242.065,1663646400
247.66,238.9,28617471.0,238.95,244.27,1663732800
243.86,237.57,31062686.0,240.98,237.925,1663819200
241.13,235.2,34256040.0,237.92,239.54,1663905600
241.45,236.9,27956390.0,237.45,237.045,1664164800
241.8,234.5,27018732.0,236.41,239.98,1664251200
242.33,234.73,29077115.0,241.07,236.81,1664337600
239.95,234.41,27501030.0,237.5,238.89,1664424000
240.54,232.73,35659283.0,232.9,238.29,1664510400
241.61,234.66,28905356.0,240.74,235.41,1664769600
250.36,244.975,34888416.0,248.88,245.2,1664856000
250.58,244.1,20347136.0,249.2,245.99,1664942400
250.34,246.08,20237630.0,246.79,247.93,1665028800
241.32,233.17,37769602.0,234.24,240.902,1665115200
234.559,226.73,29743608.0,229.25,233.05,1665374400
229.06,224.11,30469145.0,225.41,227.62,1665460800
227.86,223.96,21886872.0,225.75,225.4,1665547200
236.1,219.13,42377656.0,234.24,219.85,1665633600
237.24,228.34,30179408.0,228.56,235.54,1665720000
238.96,235.135,28142268.0,237.53,235.82,1665979200
243.93,235.37,26329591.0,238.5,243.24,1666065600
239.61,234.29,19985698.0,236.48,237.04,1666152000
241.31,234.87,21811015.0,236.15,235.855,1666238400
243.0,234.5,26299733.0,242.12,234.74,1666324800
